Adjacency,MAE,RMSE,Delta_MAE_vs_Distance,Delta_RMSE_vs_Distance,Source
Distance (original),29.20,35.74,0.00,0.00,our reproduction seed42
Correlation,35.86,42.11,+6.66,+6.37,our reproduction seed42
PE,37.97,44.62,+8.77,+8.88,our reproduction seed42
