# Table 1: Main Comparison (PE vs DiffSTG)
Model,seq_len,pre_len,seed,RMSE,MAE,MAPE(%),Peak_RMSE,Step6_RMSE,Notes
PE-DiffWaveNet,24,6,42,11.24,7.91,31.89,14.15,13.92,主实验
PE-DiffWaveNet,24,6,52,11.13,7.98,32.39,13.83,13.73,
PE-DiffWaveNet,24,6,62,11.51,8.17,32.56,13.26,13.97,
PE-DiffWaveNet(mean±std),24,6,-,11.29±0.16,8.02±0.12,32.28±0.29,13.75±0.37,13.87±0.12,3 seeds
DiffSTG,24,6,42,95.95,74.41,564.82,-,-,"仅2 epoch, 未充分训练"

# Table 2: Ablation Study
Configuration,use_diffusion,use_pe_graph,use_pe_film,pe_shuffle,RMSE,MAE,MAPE(%),Peak_RMSE,ΔRMSE(%)
Full Model (PE-DiffWaveNet),1,1,1,-1,11.24,7.91,31.89,14.15,+0.0%
No Diffusion,0,1,1,-1,10.93,7.58,29.90,14.97,-2.8%
No PE Graph,1,0,1,-1,11.33,7.95,31.89,13.40,+0.8%
No PE FiLM,1,1,0,-1,13.84,10.61,43.99,13.34,+23.1%
PE Shuffle (seed=52),1,1,1,52,12.49,9.55,43.29,11.61,+11.2%

# Table 3: Prediction Horizon
pre_len,RMSE,MAE,MAPE(%),Peak_RMSE,step1_RMSE,step3_RMSE,step6_RMSE
6,11.24,7.91,31.89,14.15,6.69,10.94,13.92
1,6.88,5.00,21.02,5.68,6.88,,
3,9.05,6.37,26.26,10.19,7.02,10.75,
12,14.24,10.14,38.61,18.52,7.53,11.65,14.64
24,16.79,12.47,48.42,25.35,8.54,11.86,14.55

# Table 4: Input Window
seq_len,RMSE,MAE,MAPE(%),Peak_RMSE,Step6_RMSE
24,11.24,7.91,31.89,14.15,13.92
24,11.13,7.98,32.39,13.83,13.73
24,11.51,8.17,32.56,13.26,13.97
12,11.63,8.32,34.25,13.48,14.28
48,11.18,7.94,31.87,12.34,13.49
