date,mean_o3
2022-08-21,102.996056
2022-08-22,92.96075
2022-08-23,54.819736
2022-08-24,65.11118
2022-08-25,65.361626
2022-08-26,56.008774
2022-08-27,45.649124
2022-08-28,46.14386
2022-08-29,57.765472
2022-08-30,58.42697
2022-08-31,71.07697
2022-09-01,72.1318
2022-09-02,84.301025
2022-09-03,86.203804
2022-09-04,93.80136
2022-09-05,73.95215
2022-09-06,58.596195
2022-09-07,60.605118
2022-09-08,90.106804
2022-09-09,108.310524
2022-09-10,118.9891
2022-09-11,103.82282
2022-09-12,105.3214
2022-09-13,101.94913
2022-09-14,87.75965
2022-09-15,80.3375
2022-09-16,88.18026
2022-09-17,98.41871
2022-09-18,76.16125
2022-09-19,54.17093
2022-09-20,55.404312
2022-09-21,74.35497
2022-09-22,74.87715
2022-09-23,53.29471
2022-09-24,53.739166
2022-09-25,83.198555
2022-09-26,101.99759
2022-09-27,114.54254
2022-09-28,109.99847
2022-09-29,115.744514
2022-09-30,117.25263
2022-10-01,81.91996
2022-10-02,64.03662
2022-10-03,42.702194
2022-10-04,48.15636
2022-10-05,34.881306
2022-10-06,38.68042
2022-10-07,46.461624
2022-10-08,43.89392
2022-10-09,60.22647
2022-10-10,49.3376
2022-10-11,38.36619
2022-10-12,44.89441
2022-10-13,48.039234
2022-10-14,58.186687
2022-10-15,70.03008
2022-10-16,48.824154
2022-10-17,39.337154
2022-10-18,34.32827
2022-10-19,46.073193
2022-10-20,57.25549
2022-10-21,65.246315
2022-10-22,54.402954
2022-10-23,39.460934
2022-10-24,45.966106
2022-10-25,66.81244
2022-10-26,58.302746
2022-10-27,39.343674
2022-10-28,28.137001
2022-10-29,26.25376
2022-10-30,32.146244
2022-10-31,41.720272
2022-11-01,36.694042
2022-11-02,41.61856
2022-11-03,41.801914
2022-11-04,38.362854
2022-11-05,36.285877
2022-11-06,34.04755
2022-11-07,37.944553
2022-11-08,38.11266
2022-11-09,29.347488
2022-11-10,37.01791
2022-11-11,26.31434
2022-11-12,42.536682
2022-11-13,39.109562
2022-11-14,24.0354
2022-11-15,32.38353
2022-11-16,25.551964
2022-11-17,25.275475
2022-11-18,25.11036
2022-11-19,31.354902
2022-11-20,19.145243
2022-11-21,28.15542
2022-11-22,25.185463
2022-11-23,22.72013
2022-11-24,23.327623
2022-11-25,46.191635
2022-11-26,47.78744
2022-11-27,23.6679
2022-11-28,31.84313
2022-11-29,52.594955
2022-11-30,46.15592
2022-12-01,36.98908
2022-12-02,21.29462
2022-12-03,37.950546
2022-12-04,28.772596
2022-12-05,23.631979
2022-12-06,24.415209
2022-12-07,22.178118
2022-12-08,22.148844
2022-12-09,20.07884
2022-12-10,50.867004
2022-12-11,37.33662
2022-12-12,49.260178
2022-12-13,55.314823
2022-12-14,31.665802
2022-12-15,39.530468
2022-12-16,43.314472
2022-12-17,57.90965
2022-12-18,36.780262
2022-12-19,23.429533
2022-12-20,27.866646
2022-12-21,50.593296
2022-12-22,49.1927
2022-12-23,40.295593
2022-12-24,35.92386
2022-12-25,22.087355
2022-12-26,28.45883
2022-12-27,38.663464
2022-12-28,30.994955
2022-12-29,34.358112
2022-12-30,22.467545
2022-12-31,24.83136
