pre_len,RMSE,MAE,MAPE(%),Peak_RMSE,step1_RMSE,step3_RMSE,step6_RMSE
6,11.24,7.91,31.89,14.15,6.69,10.94,13.92
1,6.88,5.00,21.02,5.68,6.88,,
3,9.05,6.37,26.26,10.19,7.02,10.75,
12,14.24,10.14,38.61,18.52,7.53,11.65,14.64
24,16.79,12.47,48.42,25.35,8.54,11.86,14.55
