seq_len,RMSE,MAE,MAPE(%),Peak_RMSE,Step6_RMSE
24,11.24,7.91,31.89,14.15,13.92
24,11.13,7.98,32.39,13.83,13.73
24,11.51,8.17,32.56,13.26,13.97
12,11.63,8.32,34.25,13.48,14.28
48,11.18,7.94,31.87,12.34,13.49
